frame,time,Ec,Ep,Em
0,0,80000,-99092.1,-19092.1
1000,0.05,80022.3,-99114.4,-19092.1
2000,0.1,80060.6,-99245.4,-19184.8
3000,0.15,80099,-99379.1,-19280.1
4000,0.2,80136.9,-99584.1,-19447.1
5000,0.25,80175.5,-99710.1,-19534.6
6000,0.3,80214.9,-99910.1,-19695.2
7000,0.35,80255.9,-100027,-19770.9
8000,0.4,80298.7,-100218,-19919.7
9000,0.45,80344.9,-100219,-19874
10000,0.5,80397.8,-100409,-20011.1
11000,0.55,80461.5,-100604,-20142.9
12000,0.6,80525.4,-100860,-20334.8
13000,0.65,80614.5,-100967,-20352.9
14000,0.7,80739.5,-101155,-20415.1
15000,0.75,80895.6,-101387,-20491.6
16000,0.8,81160,-101698,-20538.1
17000,0.85,80754.2,-101427,-20672.7
18000,0.9,79723.2,-100473,-20750.2
19000,0.95,79240.2,-100102,-20861.5
20000,1,78671.2,-99530.9,-20859.7
21000,1.05,78316.6,-99184.8,-20868.2
22000,1.1,78361.9,-99305.8,-20943.9
23000,1.15,77403,-98421.9,-21019
24000,1.2,77742.7,-98733.6,-20990.9
25000,1.25,77738.1,-98699.3,-20961.2
26000,1.3,77167.2,-98111.3,-20944.1
27000,1.35,76836.8,-97810.6,-20973.8
28000,1.4,75868.7,-96812.6,-20943.9
29000,1.45,76566.5,-97463.4,-20896.9
30000,1.5,76095,-96988.3,-20893.3
31000,1.55,75981.4,-96864.2,-20882.9
32000,1.6,75952.5,-96812,-20859.5
33000,1.65,76094.8,-96925.8,-20831
34000,1.7,76694.6,-97493.7,-20799.1
35000,1.75,76004.6,-96794.1,-20789.5
36000,1.8,76195.7,-96953.8,-20758.1
37000,1.85,77165.8,-97894.7,-20728.9
38000,1.9,76190,-96872.5,-20682.5
39000,1.95,76249.3,-96904.3,-20655
40000,2,75891,-96550.7,-20659.7
41000,2.05,76236,-96908.1,-20672.2
42000,2.1,76084.7,-96757.9,-20673.2
43000,2.15,75521.8,-96201.3,-20679.5
44000,2.2,76227.7,-96914,-20686.3
45000,2.25,76602.5,-97278.7,-20676.2
46000,2.3,76714.2,-97403.3,-20689
47000,2.35,76730.7,-97421,-20690.3
48000,2.4,76782.5,-97464.7,-20682.1
49000,2.45,77160.7,-97851.4,-20690.7
50000,2.5,76756,-97442.5,-20686.5
51000,2.55,76827.8,-97502.1,-20674.3
52000,2.6,76921.7,-97596,-20674.4
53000,2.65,76757.2,-97421.6,-20664.4
54000,2.7,76658.7,-97318.1,-20659.3
55000,2.75,76983.7,-97629.2,-20645.6
56000,2.8,76756.8,-97400.8,-20644
57000,2.85,76719.9,-97354.7,-20634.8
58000,2.9,76757.3,-97383.5,-20626.2
59000,2.95,76818.2,-97428.1,-20609.9
60000,3,76749.4,-97341.9,-20592.5
61000,3.05,77043.8,-97624.7,-20580.9
62000,3.1,76233.8,-96800.2,-20566.4
63000,3.15,76825.4,-97379.9,-20554.4
64000,3.2,76820.7,-97360.8,-20540.2
65000,3.25,76749.2,-97281.2,-20532
66000,3.3,76840.2,-97361.3,-20521.1
67000,3.35,76614.3,-97129.1,-20514.8
68000,3.4,77043.4,-97543.9,-20500.5
69000,3.45,77161.1,-97647.9,-20486.8
70000,3.5,76769.3,-97236.3,-20467
71000,3.55,76732.2,-97183.4,-20451.2
72000,3.6,76512,-96938.9,-20426.9
73000,3.65,76735.9,-97151,-20415.1
74000,3.7,77093.8,-97499.3,-20405.5
75000,3.75,76639.8,-97027.4,-20387.5
76000,3.8,76978.8,-97356.2,-20377.4
77000,3.85,76793.7,-97156.5,-20362.8
78000,3.9,76234.1,-96579.3,-20345.2
79000,3.95,76066.4,-96389.2,-20322.8
80000,4,76548.1,-96864.1,-20316
81000,4.05,76617.6,-96924,-20306.3
82000,4.1,76203.7,-96487.6,-20283.9
83000,4.15,76019.2,-96284.8,-20265.6
84000,4.2,75633.1,-95884.4,-20251.3
85000,4.25,75470.8,-95703.7,-20232.9
86000,4.3,75767.6,-95987.6,-20220
87000,4.35,75376.1,-95576.8,-20200.7
88000,4.4,75065.1,-95246.1,-20180.9
89000,4.45,74736.8,-94901.6,-20164.9
90000,4.5,74847.5,-95003.9,-20156.4
91000,4.55,74888.2,-95029.2,-20141
92000,4.6,74634.3,-94763.3,-20129
93000,4.65,74222.6,-94336.5,-20113.9
94000,4.7,74267.7,-94361.8,-20094
95000,4.75,73897.9,-93963.3,-20065.4
96000,4.8,73579,-93634.8,-20055.8
97000,4.85,73298.8,-93336.1,-20037.3
98000,4.9,73298.5,-93324.4,-20025.8
99000,4.95,73047.2,-93050.8,-20003.6
100000,5,72687.6,-92676.7,-19989.1
101000,5.05,72590.9,-92565.3,-19974.4
102000,5.1,72652.5,-92610.9,-19958.4
103000,5.15,72291.5,-92235.8,-19944.3
104000,5.2,71841.5,-91765.3,-19923.8
105000,5.25,71614.2,-91523.8,-19909.6
106000,5.3,71446.8,-91340.4,-19893.6
107000,5.35,71302.7,-91187.2,-19884.5
108000,5.4,71062,-90934.1,-19872.1
109000,5.45,70956.3,-90817.5,-19861.2
110000,5.5,71099.8,-90950.8,-19851
111000,5.55,70552.8,-90383.1,-19830.4
112000,5.6,70390.7,-90211.5,-19820.7
113000,5.65,70313.1,-90117.8,-19804.7
114000,5.7,70157,-89952.8,-19795.8
